ticker,company,sector,employees,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue
L.TO,Loblaw Companies Limited,Consumer Defensive,220000.0,2025,63903000000.0,2667000000.0,20032000000.0,-2062000000.0,6264000000.0,0.04173512980611239,0.032267655665618206
LSPD.TO,Lightspeed Commerce Inc.,Technology,,2022,548372000.0,-288433000.0,271173000.0,-10653000.0,-87218000.0,-0.5259805387583611,0.019426593626224533
LSPD.TO,Lightspeed Commerce Inc.,Technology,,2023,730506000.0,-1070009000.0,331961000.0,-13121000.0,-125284000.0,-1.4647504606396113,0.017961522561074104
LSPD.TO,Lightspeed Commerce Inc.,Technology,,2024,909270000.0,-163964000.0,385250000.0,-18184000.0,-97667000.0,-0.18032487599942812,0.019998460303320247
LSPD.TO,Lightspeed Commerce Inc.,Technology,,2025,1076826000.0,-667196000.0,450205000.0,-23123000.0,-32762000.0,-0.6195949949202564,0.021473292806823016
MFC.TO,Manulife Financial Corporation,Financial Services,37000.0,2022,24159000000.0,-2100000000.0,,,16628000000.0,-0.08692412765429032,
MFC.TO,Manulife Financial Corporation,Financial Services,37000.0,2023,-7037000000.0,5463000000.0,,,20423000000.0,-0.7763251385533608,
MFC.TO,Manulife Financial Corporation,Financial Services,37000.0,2024,-7288000000.0,5631000000.0,,,26494000000.0,-0.7726399560922064,
MFC.TO,Manulife Financial Corporation,Financial Services,37000.0,2025,53014000000.0,5782000000.0,,,32105000000.0,0.10906552986003697,
MRU.TO,Metro Inc.,Consumer Defensive,99000.0,2022,18888900000.0,846100000.0,3783300000.0,-621000000.0,1461400000.0,0.044793503062645255,0.03287645124914632
MRU.TO,Metro Inc.,Consumer Defensive,99000.0,2023,20724600000.0,1014800000.0,4082200000.0,-679900000.0,1563500000.0,0.04896596315489805,0.03280642328440597
MRU.TO,Metro Inc.,Consumer Defensive,99000.0,2024,21219900000.0,928800000.0,4179300000.0,-579700000.0,1677000000.0,0.043770234543989366,0.02731869612957648
MRU.TO,Metro Inc.,Consumer Defensive,99000.0,2025,22006700000.0,1017000000.0,4370300000.0,-510600000.0,1724900000.0,0.046213198707666304,0.02320202483789028
NTR.TO,Nutrien Ltd.,Basic Materials,,2022,37884000000.0,7660000000.0,15424000000.0,-2475000000.0,8110000000.0,0.2021961778059339,0.06533101045296168
NTR.TO,Nutrien Ltd.,Basic Materials,,2023,29056000000.0,1258000000.0,8474000000.0,-2600000000.0,5066000000.0,0.04329570484581498,0.08948237885462555
NTR.TO,Nutrien Ltd.,Basic Materials,,2024,25972000000.0,674000000.0,7530000000.0,-2154000000.0,3535000000.0,0.025951024179886033,0.0829354689665794
NTR.TO,Nutrien Ltd.,Basic Materials,,2025,26885000000.0,2267000000.0,8347000000.0,-2005000000.0,4007000000.0,0.08432211270225033,0.07457690161800261
OTEX.TO,Open Text Corporation,Technology,21300.0,2022,3493844000.0,397090000.0,2431643000.0,-93109000.0,981810000.0,0.11365418719324617,0.026649443993492554
OTEX.TO,Open Text Corporation,Technology,21300.0,2023,4484980000.0,150379000.0,3168393000.0,-123832000.0,779205000.0,0.03352946947366543,0.027610379533465033
OTEX.TO,Open Text Corporation,Technology,21300.0,2024,5769577000.0,465090000.0,4191028000.0,-159295000.0,967691000.0,0.08061076227945307,0.027609476396623183
OTEX.TO,Open Text Corporation,Technology,21300.0,2025,5168405000.0,435868000.0,3734287000.0,-143222000.0,830618000.0,0.08433317435456393,0.027711063664708938
PBH.TO,Premium Brands Holdings Corporation,Consumer Defensive,12036.0,2022,6029800000.0,160100000.0,1103700000.0,-228400000.0,96500000.0,0.026551461076652624,0.03787853660154566
PBH.TO,Premium Brands Holdings Corporation,Consumer Defensive,12036.0,2023,6261000000.0,94200000.0,1208400000.0,-399700000.0,433900000.0,0.015045519885002396,0.06383964222967577
